customer_id,customer_name,segment,payment_terms,channel,city,signup_date
34,Andrew Moore,Retail,Immediate,In-Store,Portland,2023-02-21
35,Sarah Anderson,Retail,Immediate,In-Store,Beaverton,2023-11-21
36,Daniel Taylor,Retail,Immediate,In-Store,Portland,2025-02-19
37,LUCAS MARTIN ,Retail,Immediate,In-Store,Portland,2024-12-25
38,Hannah Kim,Retail,Immediate,In-Store,Vancouver,2023-02-03
39,WILLIAM JOHNSON ,Retail,Immediate,In-Store,Portland,2024-05-01
40,Mason Lee,Retail,Immediate,In-Store,Portland,2024-12-20
41,Ethan Brown,Retail,Immediate,In-Store,Portland,2023-01-08
42,William Nelson,Retail,Immediate,In-Store,Portland,2022-03-30
43,Chloe Jones,Retail,Immediate,In-Store,Seattle,2025-12-12
44,Joseph Brown,Retail,Immediate,In-Store,Eugene,2024-03-04
45,James Nelson,Retail,Immediate,In-Store,Seattle,2023-07-29
46,Grace Martin,Retail,Immediate,In-Store,Portland,2022-02-06
47,Sarah Lee,Retail,Immediate,In-Store,Gresham,2025-04-01
48,James Anderson,Retail,Immediate,In-Store, seattle,2023-03-31
49,DANIEL DAVIS ,Retail,Immediate,In-Store,Hillsboro,2022-09-06
50,Lucas Carter,Retail,Immediate,In-Store,Portland,2023-03-16
51,Matthew Kim,Retail,Immediate,In-Store,Vancouver,2022-07-23
52,Mia Jones,Retail,Immediate,In-Store,Portland,2024-02-08
53,Ella Wilson,Retail,Immediate,In-Store,Beaverton,2022-01-18
54,Olivia Taylor,Retail,Immediate,In-Store,Eugene,2023-01-03
55,Emily Martin,Retail,Immediate,In-Store,Portland,2023-08-23
56,Matthew Lee,Retail,Immediate,In-Store,Salem,2023-03-26
57,William Brown,Retail,Immediate,In-Store,Seattle,2023-07-29
58,Chloe Smith,Retail,Immediate,In-Store,Portland,2022-10-16
59,Sophia Smith,Retail,Immediate,In-Store,Portland,2023-05-04
60,Isabella Anderson,Retail,Immediate,In-Store,Portland,2022-03-25
61,OLIVIA GARCIA ,Retail,Immediate,In-Store, beaverton,2024-10-29
62,Ella Johnson,Retail,Immediate,In-Store,Vancouver,2024-02-19
63,Joseph Jones,Retail,Immediate,In-Store,Portland,2025-01-22
64,Emma Nguyen,Retail,Immediate,In-Store,Portland,2025-02-05
65,Joseph Nguyen,Retail,Immediate,In-Store,Portland,2023-12-28
66,Mia Jones,Retail,Immediate,In-Store,Gresham,2024-02-18
67,Grace Williams,Retail,Immediate,In-Store,Seattle,2022-04-29
68,Jessica Nguyen,Retail,Immediate,In-Store,Vancouver,2024-01-14
69,Ethan Taylor,Retail,Immediate,In-Store,Portland,2024-09-11
70,Ashley Martin,Retail,Immediate,In-Store,Bend,2024-06-14
71,DAVID THOMAS ,Retail,Immediate,In-Store,Portland,2023-04-07
72,Isabella Nelson,Retail,Immediate,In-Store, portland,2022-05-10
73,Ethan Johnson,Retail,Immediate,In-Store,Corvallis,2025-05-13
74,Christopher Brown,Retail,Immediate,In-Store,Salem,2022-11-16
75,CHLOE BROWN ,Retail,Immediate,In-Store,Salem,2022-03-13
76,MADISON DAVIS ,Retail,Immediate,In-Store,Hillsboro,2024-03-21
77,OLIVIA WILLIAMS ,Retail,Immediate,In-Store,Portland,2023-01-15
78,Emma Williams,Retail,Immediate,In-Store,Portland,2022-05-16
79,Hannah Jones,Retail,Immediate,In-Store, portland,2023-05-29
80,Liam Martin,Retail,Immediate,In-Store,Hillsboro,2024-11-08
81,SOPHIA THOMAS ,Retail,Immediate,In-Store,Portland,2025-09-27
82,Sophia Kim,Retail,Immediate,In-Store,Portland,2023-11-03
83,Liam Jones,Retail,Immediate,In-Store,Vancouver,2025-12-15
84,ROBERT THOMAS ,Retail,Immediate,In-Store, beaverton,2025-05-27
85,Emily Taylor,Retail,Immediate,In-Store,Salem,2024-09-19
86,Emily Carter,Retail,Immediate,In-Store,Portland,2024-06-08
87,MICHAEL ANDERSON ,Retail,Immediate,In-Store,Portland,2024-05-20
88,Christopher Jones,Retail,Immediate,In-Store,Portland,2024-04-14
89,Noah Nguyen,Retail,Immediate,In-Store,Portland,2022-09-26
90,JAMES SMITH ,Retail,Immediate,In-Store,Seattle,2022-10-31
91,Ethan Wilson,Retail,Immediate,In-Store,Portland,2022-02-28
92,Emma Thomas,Retail,Immediate,In-Store,Portland,2025-01-24
93,Isabella Garcia,Retail,Immediate,In-Store,Bend,2023-09-27
94,LIAM GARCIA ,Retail,Immediate,In-Store,Hillsboro,2024-06-09
95,Michael Patel,Retail,Immediate,In-Store,Corvallis,2025-10-28
96,Ava Lee,Retail,Immediate,In-Store,Portland,2022-12-25
97,Daniel Kim,Retail,Immediate,In-Store,Gresham,2025-04-02
98,David Jones,Retail,Immediate,In-Store,Portland,2024-03-09
99,Ashley Jones,Retail,Immediate,In-Store,Hillsboro,2025-04-22
100,Emily Moore,Retail,Immediate,In-Store,Hillsboro,2023-12-24
101,CHRISTOPHER TAYLOR ,Retail,Immediate,In-Store,Portland,2023-06-28
102,Joseph Nguyen,Retail,Immediate,In-Store,Portland,2024-03-05
103,Ashley Nguyen,Retail,Immediate,In-Store,Portland,2022-12-25
104,SARAH THOMAS ,Retail,Immediate,In-Store,Portland,2024-05-08
105,Michael Johnson,Retail,Immediate,In-Store,Portland,2025-01-26
106,Madison Davis,Retail,Immediate,In-Store,Portland,2023-04-01
107,Lucas Wilson,Retail,Immediate,In-Store,Salem,2023-04-14
108,Christopher Nelson,Retail,Immediate,In-Store,Hillsboro,2025-10-30
109,Jessica Brown,Retail,Immediate,In-Store,Portland,2024-12-28
110,Ella Wilson,Retail,Immediate,In-Store,Portland,2022-11-10
111,ANDREW TAYLOR ,Retail,Immediate,In-Store,Portland,2022-06-02
112,GRACE WILLIAMS ,Retail,Immediate,In-Store,Portland,2024-08-09
113,Sophia Garcia,Retail,Immediate,In-Store,Portland,2025-09-21
114,LIAM MOORE ,Retail,Immediate,In-Store,Portland,2022-01-25
115,James Wilson,Retail,Immediate,In-Store,Portland,2022-12-31
116,Chloe Jones,Retail,Immediate,In-Store,Portland,2022-07-30
117,JESSICA MILLER ,Retail,Immediate,In-Store,Portland,2024-02-12
118,David Brown,Retail,Immediate,In-Store,Portland,2023-04-05
119,Sophia Miller,Retail,Immediate,In-Store,Portland,2023-04-26
120,Andrew Jones,Retail,Immediate,In-Store,Portland,2023-12-21
121,Mia Davis,Retail,Immediate,In-Store,Portland,2022-06-08
122,Joseph Williams,Retail,Immediate,In-Store,Corvallis,2024-04-12
123,Madison Moore,Retail,Immediate,In-Store, corvallis,2024-06-10
124,Noah Johnson,Retail,Immediate,In-Store,Corvallis,2023-08-13
125,Daniel Patel,Retail,Immediate,In-Store,Portland,2024-06-29
126,David Davis,Retail,Immediate,In-Store,Lake Oswego,2023-03-25
127,William Wilson,Retail,Immediate,In-Store,Portland,2025-12-27
128,Ethan Moore,Retail,Immediate,In-Store,Tigard,2024-05-16
129,Michael Wilson,Retail,Immediate,In-Store,Beaverton,2025-09-10
130,MADISON LEE ,Retail,Immediate,In-Store,Portland,2024-01-25
131,SOPHIA BROWN ,Retail,Immediate,In-Store,Portland,2024-09-11
132,Andrew Brown,Retail,Immediate,In-Store,Portland,2023-01-08
133,Grace Patel,Retail,Immediate,In-Store,Gresham,2022-02-20
134,MASON CARTER ,Retail,Immediate,In-Store,Portland,2025-06-30
135,William Williams,Retail,Immediate,In-Store,Portland,2024-09-11
136,JOSEPH THOMAS ,Retail,Immediate,In-Store,Hillsboro,2023-08-25
137,Isabella Anderson,Retail,Immediate,In-Store,Hillsboro,2023-06-18
138,Olivia Thomas,Retail,Immediate,In-Store,Portland,2025-08-27
139,SOPHIA LEE ,Retail,Immediate,In-Store,Hillsboro,2025-07-12
140,Mason Anderson,Retail,Immediate,In-Store, portland,2024-11-05
141,Robert Nelson,Retail,Immediate,In-Store, portland,2022-12-24
142,WILLIAM CARTER ,Retail,Immediate,In-Store,Portland,2022-07-11
143,Lucas Carter,Retail,Immediate,In-Store,Portland,2022-09-04
144,Liam Wilson,Retail,Immediate,In-Store,Portland,2024-02-26
145,Mason Smith,Retail,Immediate,In-Store,Seattle,2025-10-31
146,Ava Brown,Retail,Immediate,In-Store,Salem,2022-10-02
147,William Anderson,Retail,Immediate,In-Store,Portland,2025-08-27
148,Joseph Miller,Retail,Immediate,In-Store,Portland,2024-02-06
149,James Miller,Retail,Immediate,In-Store,Bend,2022-12-29
150,William Nguyen,Retail,Immediate,In-Store,Tigard,2025-08-24
151,David Lee,Retail,Immediate,In-Store,Portland,2024-05-15
152,Ava Taylor,Retail,Immediate,In-Store, portland,2025-05-09
153,CHRISTOPHER BROWN ,Retail,Immediate,In-Store,Portland,2024-04-18
154,Matthew Anderson,Retail,Immediate,In-Store,Hillsboro,2023-01-06
155,David Garcia,Retail,Immediate,In-Store,Portland,2025-09-21
156,Jessica Kim,Retail,Immediate,In-Store,Hillsboro,2024-09-20
157,Noah Jones,Retail,Immediate,In-Store,Seattle,2024-11-12
158,Joseph Moore,Retail,Immediate,In-Store,Portland,2024-12-22
159,Robert Lee,Retail,Immediate,In-Store,Portland,2024-06-04
160,Liam Jones,Retail,Immediate,In-Store, portland,2025-11-08
161,Sophia Nelson,Retail,Immediate,In-Store, beaverton,2022-08-23
162,Madison Nguyen,Retail,Immediate,In-Store,Eugene,2022-07-24
163,Andrew Nelson,Retail,Immediate,In-Store,Beaverton,2024-03-13
164,MICHAEL ANDERSON ,Retail,Immediate,In-Store,Hillsboro,2022-07-13
165,Daniel Patel,Retail,Immediate,In-Store,Portland,2025-12-01
166,Madison Kim,Retail,Immediate,In-Store,Beaverton,2023-11-14
167,Matthew Garcia,Retail,Immediate,In-Store,Portland,2024-12-25
168,Sarah Nguyen,Retail,Immediate,In-Store,Beaverton,2024-02-20
169,David Miller,Retail,Immediate,In-Store,Salem,2022-04-27
170,Matthew Garcia,Retail,Immediate,In-Store,Seattle,2023-12-15
171,Liam Wilson,Retail,Immediate,In-Store,Portland,2024-10-17
172,Chloe Lee,Retail,Immediate,In-Store,Lake Oswego,2022-12-30
173,Robert Thomas,Retail,Immediate,In-Store,Portland,2023-04-22
174,Sarah Davis,Retail,Immediate,In-Store,Gresham,2024-05-15
175,EMMA WILLIAMS ,Retail,Immediate,In-Store,Portland,2024-04-13
176,Jessica Williams,Retail,Immediate,In-Store,Portland,2025-05-26
177,Grace Smith,Retail,Immediate,In-Store,Portland,2024-05-30
178,Emma Nguyen,Retail,Immediate,In-Store,Portland,2023-06-29
179,Matthew Davis,Retail,Immediate,In-Store,Corvallis,2022-12-03
180,David Lee,Retail,Immediate,In-Store,Beaverton,2025-08-24
181,James Miller,Retail,Immediate,In-Store, beaverton,2022-09-27
182,Chloe Davis,Retail,Immediate,In-Store,Bend,2024-09-10
183,LIAM WILSON ,Retail,Immediate,In-Store,Gresham,2023-10-16
184,Daniel Carter,Retail,Immediate,In-Store,Portland,2023-04-05
185,Hannah Martin,Retail,Immediate,In-Store,Portland,2025-09-04
186,DANIEL PATEL ,Retail,Immediate,In-Store,Portland,2025-04-20
187,Hannah Smith,Retail,Immediate,In-Store,Beaverton,2025-02-17
188,Grace Anderson,Retail,Immediate,In-Store,Beaverton,2022-10-16
189,William Kim,Retail,Immediate,In-Store,Portland,2022-11-11
190,Daniel Thomas,Retail,Immediate,In-Store,Portland,2022-07-22
191,Matthew Brown,Retail,Immediate,In-Store,Portland,2025-07-13
192,Robert Wilson,Retail,Immediate,In-Store,Portland,2024-08-09
193,Joseph Williams,Retail,Immediate,In-Store,Portland,2024-12-04
194,Andrew Smith,Retail,Immediate,In-Store,Tigard,2022-04-12
195,Lucas Taylor,Retail,Immediate,In-Store,Vancouver,2024-11-23
196,James Nelson,Retail,Immediate,In-Store,Portland,2022-01-11
197,Madison Johnson,Retail,Immediate,In-Store,Portland,2024-06-08
198,Matthew Jones,Retail,Immediate,In-Store,Portland,2022-12-31
199,Hannah Miller,Retail,Immediate,In-Store,Salem,2025-02-14
200,Sophia Miller,Retail,Immediate,In-Store,Portland,2023-11-10
201,Ashley Lee,Retail,Immediate,In-Store,Bend,2024-03-09
202,Sarah Patel,Retail,Immediate,In-Store, bend,2022-09-18
203,Grace Davis,Retail,Immediate,In-Store,Portland,2025-11-10
204,AVA SMITH ,Retail,Immediate,In-Store,Portland,2023-04-15
205,Sarah Moore,Retail,Immediate,In-Store,Portland,2023-01-12
206,Mia Carter,Retail,Immediate,In-Store,Portland,2022-03-21
207,Mia Lee,Retail,Immediate,In-Store,Hillsboro,2025-01-16
208,Michael Martin,Retail,Immediate,In-Store,Portland,2024-11-03
209,Hannah Wilson,Retail,Immediate,In-Store,Lake Oswego,2022-09-30
210,Christopher Miller,Retail,Immediate,In-Store,Portland,2023-07-03
211,Noah Thomas,Retail,Immediate,In-Store,Portland,2024-08-17
212,Emma Moore,Retail,Immediate,In-Store,Portland,2025-01-18
213,Ethan Kim,Retail,Immediate,In-Store,Portland,2023-01-31
214,Hannah Brown,Retail,Immediate,In-Store,Portland,2025-03-18
215,Andrew Nguyen,Retail,Immediate,In-Store,Portland,2023-10-26
216,ETHAN BROWN ,Retail,Immediate,In-Store,Portland,2023-01-05
217,David Moore,Retail,Immediate,In-Store,Lake Oswego,2024-10-03
218,David Wilson,Retail,Immediate,In-Store,Bend,2024-02-28
219,Robert Martin,Retail,Immediate,In-Store,Gresham,2022-03-04
220,OLIVIA NGUYEN ,Retail,Immediate,In-Store,Vancouver,2024-04-01
221,Michael Johnson,Retail,Immediate,In-Store,Portland,2025-02-09
222,James Miller,Retail,Immediate,In-Store,Portland,2023-11-12
223,Ella Johnson,Retail,Immediate,In-Store,Eugene,2022-04-04
224,JESSICA MOORE ,Retail,Immediate,In-Store, gresham,2022-04-09
225,Noah Williams,Retail,Immediate,In-Store,Portland,2025-06-08
226,Emily Smith,Retail,Immediate,In-Store,Beaverton,2023-03-16
227,Emily Kim,Retail,Immediate,In-Store,Portland,2022-06-30
228,Emma Miller,Retail,Immediate,In-Store,Portland,2025-05-30
229,MICHAEL NGUYEN ,Retail,Immediate,In-Store,Portland,2025-08-31
230,Mason Carter,Retail,Immediate,In-Store,Tigard,2025-10-10
231,William Johnson,Retail,Immediate,In-Store,Beaverton,2024-11-10
232,Michael Martin,Retail,Immediate,In-Store,Portland,2022-04-08
233,JOSEPH TAYLOR ,Retail,Immediate,In-Store,Beaverton,2022-04-22
234,Christopher Carter,Retail,Immediate,In-Store,Hillsboro,2022-09-12
235,Noah Thomas,Retail,Immediate,In-Store,Hillsboro,2025-12-09
236,Emily Smith,Retail,Immediate,In-Store, vancouver,2024-12-14
237,Emily Martin,Retail,Immediate,In-Store,Portland,2022-01-07
238,Madison Nelson,Retail,Immediate,In-Store,Portland,2025-04-05
239,Emma Kim,Retail,Immediate,In-Store, portland,2022-09-11
240,Ella Johnson,Retail,Immediate,In-Store,Gresham,2022-08-02
241,Grace Williams,Retail,Immediate,In-Store,Portland,2022-07-29
242,Christopher Brown,Retail,Immediate,In-Store,Portland,2022-12-25
243,Sophia Anderson,Retail,Immediate,In-Store,Hillsboro,2024-10-19
244,Liam Davis,Retail,Immediate,In-Store,Beaverton,2024-04-25
245,Robert Thomas,Retail,Immediate,In-Store,Lake Oswego,2022-08-14
246,Sophia Nguyen,Retail,Immediate,In-Store,Bend,2025-04-02
247,Ava Lee,Retail,Immediate,In-Store,Bend,2024-08-06
248,Grace Wilson,Retail,Immediate,In-Store,Portland,2022-12-08
249,MICHAEL JONES ,Retail,Immediate,In-Store,Portland,2022-06-09
250,Madison Davis,Retail,Immediate,In-Store, gresham,2025-11-18
251,Mason Carter,Retail,Immediate,In-Store,Portland,2024-05-12
252,GRACE LEE ,Retail,Immediate,In-Store,Portland,2024-06-11
253,James Kim,Retail,Immediate,In-Store,Portland,2023-02-14
254,Grace Garcia,Retail,Immediate,In-Store,Eugene,2022-02-19
255,Liam Garcia,Retail,Immediate,In-Store,Portland,2024-10-13
256,Mason Kim,Retail,Immediate,In-Store,Hillsboro,2023-11-12
257,JOSEPH GARCIA ,Retail,Immediate,In-Store,Portland,2024-08-04
258,Joseph Wilson,Retail,Immediate,In-Store,Portland,2022-07-12
259,Olivia Davis,Retail,Immediate,In-Store, portland,2022-05-27
260,James Williams,Retail,Immediate,In-Store,Tigard,2022-12-20
261,Christopher Jones,Retail,Immediate,In-Store,Portland,2023-06-03
262,Hannah Patel,Retail,Immediate,In-Store,Beaverton,2024-11-08
263,Ava Nguyen,Retail,Immediate,In-Store,Portland,2023-03-15
264,Chloe Thomas,Retail,Immediate,In-Store,Portland,2023-02-16
265,Lucas Moore,Retail,Immediate,In-Store,Portland,2025-07-08
266,David Carter,Retail,Immediate,In-Store,Beaverton,2023-08-28
267,CHRISTOPHER NELSON ,Retail,Immediate,In-Store,Portland,2023-12-16
268,Christopher Kim,Retail,Immediate,In-Store,Portland,2025-03-29
269,ANDREW GARCIA ,Retail,Immediate,In-Store,Portland,2024-04-05
270,JAMES JOHNSON ,Retail,Immediate,In-Store,Hillsboro,2023-03-12
271,Robert Smith,Retail,Immediate,In-Store,Portland,2023-11-29
272,Michael Jones,Retail,Immediate,In-Store,Portland,2025-11-30
273,LIAM MILLER ,Retail,Immediate,In-Store,Portland,2025-10-22
274,Mia Carter,Retail,Immediate,In-Store,Beaverton,2022-09-11
275,Hannah Martin,Retail,Immediate,In-Store,Gresham,2024-11-03
276,Sophia Kim,Retail,Immediate,In-Store,Portland,2023-09-01
277,Sophia Williams,Retail,Immediate,In-Store,Portland,2023-04-19
278,Hannah Martin,Retail,Immediate,In-Store,Portland,2022-02-20
279,Christopher Williams,Retail,Immediate,In-Store,Portland,2022-05-18
280,Grace Moore,Retail,Immediate,In-Store,Beaverton,2022-07-19
281,Jessica Smith,Retail,Immediate,In-Store,Portland,2022-05-12
282,Ashley Davis,Retail,Immediate,In-Store,Gresham,2024-11-30
283,Isabella Taylor,Retail,Immediate,In-Store,Portland,2023-12-20
284,James Carter,Retail,Immediate,In-Store,Salem,2025-10-29
285,Emma Patel,Retail,Immediate,In-Store,Portland,2023-12-02
286,William Nelson,Retail,Immediate,In-Store,Portland,2023-10-14
287,Matthew Patel,Retail,Immediate,In-Store,Gresham,2025-12-31
288,Emily Smith,Retail,Immediate,In-Store, portland,2022-10-28
289,James Anderson,Retail,Immediate,In-Store, portland,2024-05-26
290,David Nelson,Retail,Immediate,In-Store,Lake Oswego,2024-02-15
291,Sophia Nguyen,Retail,Immediate,In-Store, portland,2024-06-19
292,Emma Johnson,Retail,Immediate,In-Store,Gresham,2025-06-22
293,David Johnson,Retail,Immediate,In-Store,Portland,2022-05-05
294,Andrew Smith,Retail,Immediate,In-Store,Portland,2025-03-11
295,Noah Williams,Retail,Immediate,In-Store,Beaverton,2025-03-16
296,Daniel Kim,Retail,Immediate,In-Store,Portland,2022-05-16
297,Grace Patel,Retail,Immediate,In-Store,Portland,2024-01-10
298,Robert Nelson,Retail,Immediate,In-Store,Portland,2024-10-09
299,James Johnson,Retail,Immediate,In-Store,Portland,2022-12-21
300,Joseph Davis,Retail,Immediate,In-Store,Portland,2024-04-02
301,Chloe Kim,Retail,Immediate,In-Store,Portland,2023-03-04
302,Joseph Miller,Retail,Immediate,In-Store,Eugene,2023-07-01
303,William Brown,Retail,Immediate,In-Store,Portland,2022-06-01
304,Ashley Martin,Retail,Immediate,In-Store, salem,2022-07-20
305,ISABELLA PATEL ,Retail,Immediate,In-Store,Portland,2025-02-04
306,Chloe Smith,Retail,Immediate,In-Store,Portland,2025-07-30
307,Michael Smith,Retail,Immediate,In-Store,Portland,2023-04-26
308,Christopher Davis,Retail,Immediate,In-Store,Beaverton,2025-09-27
309,EMMA THOMAS ,Retail,Immediate,In-Store,Hillsboro,2024-09-17
310,Grace Miller,Retail,Immediate,In-Store,Portland,2023-02-06
311,Isabella Patel,Retail,Immediate,In-Store,Portland,2024-05-21
312,Ethan Miller,Retail,Immediate,In-Store,Hillsboro,2023-04-26
313,Hannah Davis,Retail,Immediate,In-Store,Portland,2022-07-17
314,JAMES PATEL ,Retail,Immediate,In-Store,Portland,2025-06-22
315,Grace Smith,Retail,Immediate,In-Store,Portland,2022-08-27
316,Noah Wilson,Retail,Immediate,In-Store,Portland,2024-08-20
317,Ava Taylor,Retail,Immediate,In-Store,Tigard,2023-10-27
318,JAMES GARCIA ,Retail,Immediate,In-Store,Vancouver,2023-12-07
319,Ava Martin,Retail,Immediate,In-Store, portland,2024-03-24
320,Sophia Martin,Retail,Immediate,In-Store,Portland,2025-10-03
321,Mia Taylor,Retail,Immediate,In-Store,Portland,2023-10-04
322,Chloe Williams,Retail,Immediate,In-Store,Hillsboro,2022-12-18
323,Ella Moore,Retail,Immediate,In-Store,Gresham,2022-02-11
324,Grace Nelson,Retail,Immediate,In-Store,Portland,2024-12-02
325,David Johnson,Retail,Immediate,In-Store, hillsboro,2024-10-07
326,Grace Johnson,Retail,Immediate,In-Store,Eugene,2023-10-06
327,Olivia Anderson,Retail,Immediate,In-Store,Seattle,2025-08-18
328,Lucas Kim,Retail,Immediate,In-Store,Portland,2023-06-24
329,Matthew Patel,Retail,Immediate,In-Store, portland,2024-01-10
330,Mason Martin,Retail,Immediate,In-Store,Portland,2024-02-28
331,Olivia Taylor,Retail,Immediate,In-Store,Portland,2022-03-21
332,Madison Jones,Retail,Immediate,In-Store,Beaverton,2022-04-04
333,Mason Lee,Retail,Immediate,In-Store,Vancouver,2022-03-25
334,Christopher Patel,Retail,Immediate,In-Store, portland,2023-02-04
335,Hannah Williams,Retail,Immediate,In-Store,Portland,2023-08-12
336,Emily Taylor,Retail,Immediate,In-Store,Portland,2025-06-28
337,CHLOE MARTIN ,Retail,Immediate,In-Store,Eugene,2025-09-12
338,Noah Thomas,Retail,Immediate,In-Store,Beaverton,2025-08-09
339,Ella Wilson,Retail,Immediate,In-Store,Portland,2022-12-29
340,William Thomas,Retail,Immediate,In-Store,Portland,2023-10-10
341,Andrew Wilson,Retail,Immediate,In-Store,Beaverton,2022-01-11
342,Andrew Garcia,Retail,Immediate,In-Store, portland,2022-03-10
343,Michael Patel,Retail,Immediate,In-Store,Seattle,2023-06-17
344,William Miller,Retail,Immediate,In-Store,Hillsboro,2024-10-18
345,Liam Garcia,Retail,Immediate,In-Store,Eugene,2023-04-25
346,Michael Martin,Retail,Immediate,In-Store,Beaverton,2024-07-23
347,James Smith,Retail,Immediate,In-Store,Corvallis,2022-02-21
348,Hannah Nguyen,Retail,Immediate,In-Store,Lake Oswego,2022-10-18
349,Ava Smith,Retail,Immediate,In-Store, salem,2022-01-30
350,Matthew Anderson,Retail,Immediate,In-Store, salem,2023-05-25
351,JAMES DAVIS ,Retail,Immediate,In-Store,Salem,2023-02-26
352,Robert Nguyen,Retail,Immediate,In-Store,Beaverton,2023-07-23
353,Andrew Anderson,Retail,Immediate,In-Store,Tigard,2023-03-30
354,Lucas Wilson,Retail,Immediate,In-Store,Portland,2025-03-05
355,Sophia Anderson,Retail,Immediate,In-Store,Beaverton,2023-08-22
356,Ethan Wilson,Retail,Immediate,In-Store,Eugene,2023-09-19
357,Ava Brown,Retail,Immediate,In-Store,Beaverton,2025-09-23
358,Christopher Wilson,Retail,Immediate,In-Store, gresham,2022-04-29
359,Grace Nelson,Retail,Immediate,In-Store,Hillsboro,2024-04-02
360,Joseph Lee,Retail,Immediate,In-Store,Hillsboro,2023-03-23
361,Liam Nguyen,Retail,Immediate,In-Store,Portland,2022-11-01
362,Christopher Thomas,Retail,Immediate,In-Store,Portland,2025-10-29
363,Grace Taylor,Retail,Immediate,In-Store,Portland,2024-06-10
364,Isabella Kim,Retail,Immediate,In-Store,Gresham,2024-12-28
365,LIAM MILLER ,Retail,Immediate,In-Store, vancouver,2023-07-27
366,Ava Wilson,Retail,Immediate,In-Store,Beaverton,2023-07-17
367,James Moore,Retail,Immediate,In-Store,Gresham,2024-07-31
368,James Thomas,Retail,Immediate,In-Store,Portland,2023-09-20
369,Lucas Moore,Retail,Immediate,In-Store, portland,2024-09-22
370,OLIVIA CARTER ,Retail,Immediate,In-Store, gresham,2022-07-01
371,Ella Jones,Retail,Immediate,In-Store,Bend,2025-11-20
372,Chloe Nguyen,Retail,Immediate,In-Store,Beaverton,2025-05-25
373,Joseph Johnson,Retail,Immediate,In-Store,Salem,2024-03-04
374,Olivia Taylor,Retail,Immediate,In-Store,Vancouver,2025-05-14
375,David Thomas,Retail,Immediate,In-Store,Portland,2023-07-11
376,Ella Wilson,Retail,Immediate,In-Store,Portland,2025-09-24
377,William Davis,Retail,Immediate,In-Store,Portland,2025-05-08
378,Emma Smith,Retail,Immediate,In-Store,Portland,2022-02-08
379,Emma Smith,Retail,Immediate,In-Store,Gresham,2022-08-29
380,Christopher Nguyen,Retail,Immediate,In-Store, portland,2024-11-06
381,Isabella Kim,Retail,Immediate,In-Store,Portland,2022-08-14
382,Emily Patel,Retail,Immediate,In-Store,Portland,2024-02-29
383,Chloe Wilson,Retail,Immediate,In-Store, portland,2022-11-26
384,Hannah Anderson,Retail,Immediate,In-Store, portland,2025-11-25
385,Ella Brown,Retail,Immediate,In-Store,Vancouver,2022-06-17
386,Ashley Patel,Retail,Immediate,In-Store,Beaverton,2023-02-16
387,Emily Williams,Retail,Immediate,In-Store,Portland,2024-01-29
388,Michael Nguyen,Retail,Immediate,In-Store,Portland,2024-02-23
